"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","6","2","1","1","0","0","0","0","24","0","20","0","0","0","1","0","0","0","0","202","92","0","0","0","1","0","0","0","0","0","0","19","19"
"ATL","1","2","1","2","0","0","0","0","0","4","0","10","0","0","1","0","0","0","0","0","146","154","0","0","0","0","1","0","0","0","0","0","12","12"
"BLT","1","5","1","0","0","0","0","18","0","0","0","9","0","0","1","0","0","0","0","0","242","72","0","0","0","0","1","0","0","0","0","0","11","11"
"CAR","1","4","0","0","0","0","0","0","0","14","0","24","0","0","0","0","1","0","0","0","115","130","0","0","0","1","0","0","0","0","0","0","4","4"
"CHI","1","1","0","0","0","0","0","84","0","16","0","38","0","0","0","0","0","0","1","0","245","91","0","0","0","0","1","0","0","0","0","0","-3","-3"
"CIN","1","3","1","1","0","0","0","45","0","24","0","24","0","0","0","0","1","0","0","0","154","206","0","0","0","0","0","1","0","0","0","0","7","7"
"CLV","1","2","0","0","0","0","0","0","0","15","0","3","0","1","0","0","0","0","0","0","82","75","0","0","1","0","0","0","0","0","0","0","9","9"
"DAL","1","7","1","2","2","0","1","0","0","17","0","0","1","0","0","0","0","0","0","0","118","108","0","0","0","1","0","0","0","0","0","0","42","42"
"DEN","1","0","0","1","0","0","0","55","0","0","0","17","0","0","0","1","0","0","0","0","200","61","0","0","0","1","0","0","0","0","0","0","3","3"
"DET","1","0","0","1","1","0","0","0","0","16","0","20","0","0","0","1","0","0","0","0","226","90","0","0","0","0","1","0","0","0","0","0","9","9"
"GB","1","4","1","1","1","0","0","55","0","54","0","20","0","0","0","1","0","0","0","0","216","122","0","0","0","0","1","0","0","0","0","0","15","15"
"HST","1","4","1","1","0","0","0","0","0","24","0","25","0","0","0","0","1","0","0","0","169","113","0","0","0","1","0","0","0","0","0","0","8","8"
"IND","1","2","1","1","1","0","0","19","0","20","0","31","0","0","0","0","0","1","0","0","241","105","0","0","0","0","1","0","0","0","0","0","11","11"
"JAX","1","4","2","1","0","0","0","20","0","58","0","21","0","0","0","0","1","0","0","0","223","65","0","0","0","1","0","0","0","0","0","0","10","10"
"KC","1","1","1","0","0","0","0","0","0","16","0","21","0","0","0","0","1","0","0","0","252","118","0","0","0","0","0","1","0","0","0","0","3","3"
"MIA","1","3","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","1","0","0","228","234","0","0","0","0","0","0","0","1","0","0","2","2"
"MIN","1","1","0","0","0","0","0","15","0","18","0","20","0","0","0","1","0","0","0","0","173","73","0","0","0","1","0","0","0","0","0","0","2","2"
"NE","1","3","1","0","0","0","0","62","0","21","0","25","0","0","0","0","1","0","0","0","170","97","0","0","0","1","0","0","0","0","0","0","5","5"
"NO","1","3","0","3","0","0","1","110","0","6","0","15","0","0","0","1","0","0","0","0","198","104","0","0","0","0","1","0","0","0","0","0","11","11"
"NYG","1","0","0","0","0","0","0","0","0","7","0","40","0","0","0","0","0","0","1","0","143","122","0","0","0","1","0","0","0","0","0","0","-4","-4"
"LV","1","2","0","0","0","0","0","0","0","0","0","16","0","0","0","1","0","0","0","0","177","94","0","0","0","1","0","0","0","0","0","0","3","3"
"PHI","1","2","1","1","1","0","0","11","0","30","0","20","0","0","0","1","0","0","0","0","316","76","0","0","0","0","0","1","0","0","0","0","13","13"
"PIT","1","3","1","0","0","0","0","91","0","2","0","30","0","0","0","0","0","1","0","0","220","188","0","0","0","0","0","0","1","0","0","0","4","4"
"LA","1","2","0","0","0","0","0","8","0","7","0","13","0","0","1","0","0","0","0","0","112","85","0","0","1","0","0","0","0","0","0","0","6","6"
"LAC","1","0","1","1","0","0","0","0","0","3","0","36","0","0","0","0","0","0","1","0","466","65","0","0","0","0","0","0","0","0","1","0","0","0"
"SF","1","5","0","2","0","0","0","0","0","41","0","7","0","0","1","0","0","0","0","0","232","41","0","0","0","1","0","0","0","0","0","0","13","13"
"SEA","1","0","0","0","0","0","1","50","0","18","0","30","0","0","0","0","0","1","0","0","340","92","0","0","0","0","0","0","1","0","0","0","0","0"
"TB","1","2","2","1","0","0","0","23","0","29","0","17","0","0","0","1","0","0","0","0","344","41","0","0","0","0","0","1","0","0","0","0","9","9"
"TEN","1","4","1","1","0","0","0","0","0","37","0","16","0","0","0","1","0","0","0","0","305","69","0","0","0","0","0","1","0","0","0","0","9","9"
"WAS","1","3","2","0","0","0","0","21","0","9","0","16","0","0","0","1","0","0","0","0","132","93","0","0","0","1","0","0","0","0","0","0","8","8"