"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Stephen Gostkowski (FA)","35","37","94.6","53","1","11","10","12","1","51","51","16","170.0","10.6","0.1%"
"2","Cody Parkey (FA)","32","36","88.9","54","0","10","14","4","4","54","54","16","162.0","10.1","0.1%"
"3","Adam Vinatieri (FA)","30","31","96.8","53","0","10","10","7","3","50","50","16","153.0","9.6","0.2%"
"4","Dan Carpenter (FA)","34","38","89.5","58","0","9","12","7","6","31","32","16","152.0","9.5","0.2%"
"5","Dan Bailey (FA)","25","29","86.2","56","0","6","6","8","5","56","56","16","149.0","9.3","0.0%"
"6","Matt Bryant (FA)","29","32","90.6","54","0","10","4","8","7","40","40","16","149.0","9.3","1.1%"
"7","Stephen Hauschka (FA)","31","37","83.8","58","0","10","10","9","2","41","41","16","147.0","9.2","0.0%"
"8","Mason Crosby (NYG)","27","33","81.8","55","0","7","11","5","4","53","53","16","147.0","9.2","0.1%"
"9","Randy Bullock (NYG)","30","35","85.7","55","0","6","13","7","4","40","40","16","145.0","9.1","0.1%"
"10","Shaun Suisham (FA)","29","32","90.6","53","0","12","6","10","1","45","45","16","144.0","9.0","0.0%"
"11","Justin Tucker (BAL)","29","34","85.3","55","0","10","11","4","4","42","42","16","141.0","8.8","98.6%"
"12","Caleb Sturgis (FA)","29","37","78.4","53","1","12","7","6","3","41","41","16","140.0","8.8","0.0%"
"13","Nick Folk (TEN)","32","39","82.1","55","0","13","7","9","3","23","23","16","134.0","8.4","9.8%"
"14","Graham Gano (NYG)","29","35","82.9","53","0","7","12","9","1","34","34","16","132.0","8.3","1.3%"
"15","Chandler Catanzaro (FA)","29","33","87.9","51","0","5","12","10","2","27","27","16","128.0","8.0","0.0%"
"16","Josh Brown (FA)","24","26","92.3","53","1","6","9","4","4","44","44","16","128.0","8.0","0.0%"
"17","Mike Nugent (FA)","26","33","78.8","49","0","6","10","10","0","39","39","16","127.0","7.9","1.0%"
"18","Phil Dawson (FA)","25","31","80.6","55","0","6","8","5","6","33","33","16","125.0","7.8","0.1%"
"19","Blair Walsh (FA)","26","35","74.3","55","2","4","8","7","5","29","29","16","124.0","7.8","0.1%"
"20","Cairo Santos (CHI)","25","30","83.3","53","1","10","6","7","1","38","38","16","122.0","7.6","23.2%"
"21","Greg Zuerlein (NYJ)","24","30","80.0","56","1","6","10","2","5","34","35","16","118.0","7.4","41.9%"
"22","Nick Novak (FA)","22","26","84.6","52","1","6","8","4","3","40","40","16","116.0","7.3","0.1%"
"23","Kai Forbath (LAR)","24","27","88.9","49","0","11","6","7","0","31","31","16","110.0","6.9","3.0%"
"24","Shayne Graham (FA)","19","22","86.4","50","0","6","9","3","1","46","46","16","108.0","6.8","0.0%"
"25","Patrick Murray (FA)","20","24","83.3","55","0","2","7","6","5","31","31","16","107.0","6.7","1.0%"
"26","Billy Cundiff (FA)","22","29","75.9","52","0","6","10","5","1","28","28","13","101.0","7.8","0.0%"
"27","Sebastian Janikowski (FA)","19","22","86.4","57","0","2","5","9","3","28","28","16","100.0","6.3","20.0%"
"28","Josh Scobee (FA)","20","26","76.9","53","0","3","7","7","3","23","23","16","96.0","6.0","0.0%"
"29","Matt Prater (ARI)","21","26","80.8","52","0","8","4","6","3","21","21","11","96.0","8.7","1.7%"
"30","Ryan Succop (FA)","19","22","86.4","51","0","5","7","5","2","27","27","16","93.0","5.8","0.0%"
"31","Brandon McManus (WAS)","9","13","69.2","44","0","5","2","2","0","41","41","15","70.0","4.7","18.5%"
"32","Connor Barth (FA)","15","16","93.8","50","2","4","5","3","1","15","15","5","65.0","13.0","0.0%"
"33","Robbie Gould (FA)","9","12","75.0","45","0","4","2","3","0","28","28","12","58.0","4.8","0.1%"
"34","Nate Freese (FA)","3","7","42.9","30","0","2","1","0","0","6","6","3","15.0","5.0","0.0%"
"35","Jay Feely (FA)","3","4","75.0","48","0","1","1","1","0","5","5","4","15.0","3.8","0.0%"
"36","Garrett Hartley (FA)","3","3","100.0","43","0","0","2","1","0","2","2","2","12.0","6.0","0.0%"
"37","Alex Henery (FA)","1","5","20.0","51","0","0","0","0","1","5","5","2","10.0","5.0","0.0%"
"38","Jonathan Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"39","Jordan Gay (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
""
""